#string_protein_id	preferred_name	protein_size	annotation
59689.fgenesh2_kg.1__919__AT1G08910.1	fgenesh2_kg.1__919__AT1G08910.1	836	EMB3001 
59689.fgenesh2_kg.1__91__AT1G01430.1	fgenesh2_kg.1__91__AT1G01430.1	448	Uncharacterized protein
59689.fgenesh2_kg.1__920__AT1G08920.2	fgenesh2_kg.1__920__AT1G08920.2	471	Uncharacterized protein; Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
59689.fgenesh2_kg.1__929__AT1G08970.2	fgenesh2_kg.1__929__AT1G08970.2	231	Uncharacterized protein
59689.fgenesh2_kg.1__92__AT1G01420.1	fgenesh2_kg.1__92__AT1G01420.1	455	Glycosyltransferase; UDP-glucoronosyl/UDP-glucosyl transferase family protein ; Belongs to the UDP-glycosyltransferase family
59689.fgenesh2_kg.1__932__AT1G08990.1	fgenesh2_kg.1__932__AT1G08990.1	527	Hexosyltransferase; Belongs to the glycosyltransferase 8 family
59689.fgenesh2_kg.1__933__AT1G09000.1	fgenesh2_kg.1__933__AT1G09000.1	666	Uncharacterized protein
59689.fgenesh2_kg.1__935__AT1G09020.1	fgenesh2_kg.1__935__AT1G09020.1	479	Uncharacterized protein
59689.fgenesh2_kg.1__937__AT1G09040.1	fgenesh2_kg.1__937__AT1G09040.1	910	Uncharacterized protein
59689.fgenesh2_kg.1__93__AT1G01410.1	fgenesh2_kg.1__93__AT1G01410.1	351	APUM22 
59689.fgenesh2_kg.1__941__AT1G09060.2	fgenesh2_kg.1__941__AT1G09060.2	923	Transcription factor jumonji domain-containing protein 
59689.fgenesh2_kg.1__942__AT1G09070.1	fgenesh2_kg.1__942__AT1G09070.1	320	Uncharacterized protein
59689.fgenesh2_kg.1__945__AT1G09090.2	fgenesh2_kg.1__945__AT1G09090.2	754	Uncharacterized protein
59689.fgenesh2_kg.1__949__AT1G09140.1	fgenesh2_kg.1__949__AT1G09140.1	265	Uncharacterized protein
59689.fgenesh2_kg.1__94__AT1G01390.1	fgenesh2_kg.1__94__AT1G01390.1	480	Glycosyltransferase; UDP-glucoronosyl/UDP-glucosyl transferase family protein ; Belongs to the UDP-glycosyltransferase family
59689.fgenesh2_kg.1__952__AT1G09155.1	ATPP2-B15	289	Phloem protein 2-B15 
59689.fgenesh2_kg.1__953__AT5G39650.1	fgenesh2_kg.1__953__AT5G39650.1	185	Uncharacterized protein
59689.fgenesh2_kg.1__956__AT1G09160.2	fgenesh2_kg.1__956__AT1G09160.2	428	Uncharacterized protein
59689.fgenesh2_kg.1__959__AT1G09176.1	Glycine	140	Uncharacterized protein
59689.fgenesh2_kg.1__95__AT1G01340.1	fgenesh2_kg.1__95__AT1G01340.1	706	ATCNGC10 
59689.fgenesh2_kg.1__960__AT1G09180.1	fgenesh2_kg.1__960__AT1G09180.1	193	Uncharacterized protein; Belongs to the small GTPase superfamily. SAR1 family
59689.fgenesh2_kg.1__963__AT1G09200.1	fgenesh2_kg.1__963__AT1G09200.1	136	Belongs to the histone H3 family. 
59689.fgenesh2_kg.1__964__AT1G09210.1	fgenesh2_kg.1__964__AT1G09210.1	432	Uncharacterized protein
59689.fgenesh2_kg.1__965__AT1G09220.1	fgenesh2_kg.1__965__AT1G09220.1	337	Pentatricopeptide repeat-containing protein 
59689.fgenesh2_kg.1__966__AT1G09230.1	fgenesh2_kg.1__966__AT1G09230.1	438	RNA recognition motif-containing protein 
59689.fgenesh2_kg.1__967__AT1G09240.1	fgenesh2_kg.1__967__AT1G09240.1	320	Uncharacterized protein
59689.fgenesh2_kg.1__968__AT1G09250.1	fgenesh2_kg.1__968__AT1G09250.1	198	Uncharacterized protein
59689.fgenesh2_kg.1__96__AT1G01320.1	fgenesh2_kg.1__96__AT1G01320.1	1793	Tetratricopeptide repeat-containing protein 
59689.fgenesh2_kg.1__972__AT1G09280.1	fgenesh2_kg.1__972__AT1G09280.1	581	Uncharacterized protein
59689.fgenesh2_kg.1__973__AT1G09290.1	fgenesh2_kg.1__973__AT1G09290.1	348	Uncharacterized protein
59689.fgenesh2_kg.1__975__AT1G09300.1	fgenesh2_kg.1__975__AT1G09300.1	480	Uncharacterized protein
59689.fgenesh2_kg.1__976__AT1G09310.1	fgenesh2_kg.1__976__AT1G09310.1	180	Uncharacterized protein
59689.fgenesh2_kg.1__977__AT1G09320.1	fgenesh2_kg.1__977__AT1G09320.1	518	Agenet domain-containing protein 
59689.fgenesh2_kg.1__978__AT1G09330.1	fgenesh2_kg.1__978__AT1G09330.1	186	Golgi apparatus membrane protein TVP23; Golgi membrane protein involved in vesicular trafficking
59689.fgenesh2_kg.1__979__AT1G09340.1	fgenesh2_kg.1__979__AT1G09340.1	378	Catalytic/ coenzyme binding protein 
59689.fgenesh2_kg.1__97__AT1G01310.1	fgenesh2_kg.1__97__AT1G01310.1	241	Uncharacterized protein; Belongs to the CRISP family
59689.fgenesh2_kg.1__982__AT1G09370.1	fgenesh2_kg.1__982__AT1G09370.1	137	At1g09370 
59689.fgenesh2_kg.1__986__AT1G09410.1	fgenesh2_kg.1__986__AT1G09410.1	595	Uncharacterized protein
59689.fgenesh2_kg.1__987__AT1G09415.1	fgenesh2_kg.1__987__AT1G09415.1	111	Uncharacterized protein
59689.fgenesh2_kg.1__988__AT1G09420.1	G6PD4	608	Glucose-6-phosphate 1-dehydrogenase 
59689.fgenesh2_kg.1__98__AT1G01305.1	fgenesh2_kg.1__98__AT1G01305.1	141	Uncharacterized protein
59689.fgenesh2_kg.1__990__AT1G09430.1	ACLA-3	424	ATP-citrate lyase A-3 
59689.fgenesh2_kg.1__994__AT1G09470.1	Cingulin	336	Uncharacterized protein
59689.fgenesh2_kg.1__996__AT1G09490.1	fgenesh2_kg.1__996__AT1G09490.1	322	Cinnamyl-alcohol dehydrogenase family 
59689.fgenesh2_kg.1__999__AT1G09500.1	fgenesh2_kg.1__999__AT1G09500.1	325	Cinnamyl-alcohol dehydrogenase family 
59689.fgenesh2_kg.1__99__AT1G01300.1	fgenesh2_kg.1__99__AT1G01300.1	485	Aspartyl protease family protein ; Belongs to the peptidase A1 family
59689.fgenesh2_kg.205__1__AT5G52510.1	fgenesh2_kg.205__1__AT5G52510.1	571	Uncharacterized protein; Belongs to the GRAS family
59689.fgenesh2_kg.213__1__AT3G62400.1	fgenesh2_kg.213__1__AT3G62400.1	64	Cytochrome c oxidase subunit VC family protein 
59689.fgenesh2_kg.213__2__AT3G62390.1	fgenesh2_kg.213__2__AT3G62390.1	474	Uncharacterized protein
59689.fgenesh2_kg.219__1__AT3G20460.1	fgenesh2_kg.219__1__AT3G20460.1	472	Uncharacterized protein; Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
59689.fgenesh2_kg.219__2__AT3G20450.1	fgenesh2_kg.219__2__AT3G20450.1	137	Uncharacterized protein
59689.fgenesh2_kg.222__1__AT3G11650.1	fgenesh2_kg.222__1__AT3G11650.1	242	Uncharacterized protein
59689.fgenesh2_kg.226__4__AT5G53050.2	fgenesh2_kg.226__4__AT5G53050.2	393	Hydrolase, alpha/beta fold family protein 
59689.fgenesh2_kg.228__1__AT2G28650.1	fgenesh2_kg.228__1__AT2G28650.1	567	Component of the exocyst complex. 
59689.fgenesh2_kg.22__1__AT1G69930.1	fgenesh2_kg.22__1__AT1G69930.1	234	Uncharacterized protein
59689.fgenesh2_kg.22__4__AT1G69910.1	fgenesh2_kg.22__4__AT1G69910.1	633	Kinase family protein 
59689.fgenesh2_kg.22__5__AT1G69900.1	fgenesh2_kg.22__5__AT1G69900.1	391	Uncharacterized protein
59689.fgenesh2_kg.22__6__AT1G69880.1	ATH8	148	Thioredoxin H-type 8 
59689.fgenesh2_kg.22__7__AT1G69870.1	fgenesh2_kg.22__7__AT1G69870.1	619	Proton-dependent oligopeptide transport family protein 
59689.fgenesh2_kg.230__1__AT3G15400.1	fgenesh2_kg.230__1__AT3G15400.1	358	Uncharacterized protein
59689.fgenesh2_kg.230__4__AT3G15395.3	fgenesh2_kg.230__4__AT3G15395.3	59	Putative uncharacterized protein
59689.fgenesh2_kg.230__7__AT3G15390.1	fgenesh2_kg.230__7__AT3G15390.1	468	Uncharacterized protein
59689.fgenesh2_kg.233__4__AT5G65050.3	fgenesh2_kg.233__4__AT5G65050.3	198	Uncharacterized protein
59689.fgenesh2_kg.236__1__AT5G55880.1	fgenesh2_kg.236__1__AT5G55880.1	356	Uncharacterized protein
59689.fgenesh2_kg.239__1__AT1G70980.1	fgenesh2_kg.239__1__AT1G70980.1	446	Uncharacterized protein
59689.fgenesh2_kg.25__1__AT5G42200.1	fgenesh2_kg.25__1__AT5G42200.1	163	Zinc finger family protein 
59689.fgenesh2_kg.262__3__AT1G78690.1	fgenesh2_kg.262__3__AT1G78690.1	269	Belongs to the taffazin family. 
59689.fgenesh2_kg.264__1__AT1G21970.1	fgenesh2_kg.264__1__AT1G21970.1	236	Uncharacterized protein
59689.fgenesh2_kg.267__3__AT3G07360.1	fgenesh2_kg.267__3__AT3G07360.1	460	RING-type E3 ubiquitin transferase; Armadillo/beta-catenin repeat family protein 
59689.fgenesh2_kg.26__1__AT3G25140.1	fgenesh2_kg.26__1__AT3G25140.1	559	Hexosyltransferase; Belongs to the glycosyltransferase 8 family
59689.fgenesh2_kg.26__4__AT3G25180.1	fgenesh2_kg.26__4__AT3G25180.1	470	CYP82G1 ; Belongs to the cytochrome P450 family
59689.fgenesh2_kg.26__5__AT5G24050.1	fgenesh2_kg.26__5__AT5G24050.1	298	Uncharacterized protein
59689.fgenesh2_kg.26__9__AT2G17460.1	fgenesh2_kg.26__9__AT2G17460.1	88	Predicted protein
59689.fgenesh2_kg.270__2__AT2G34610.1	fgenesh2_kg.270__2__AT2G34610.1	279	Uncharacterized protein
59689.fgenesh2_kg.270__3__AT2G34620.1	fgenesh2_kg.270__3__AT2G34620.1	303	Putative uncharacterized protein
59689.fgenesh2_kg.271__2__AT5G52290.1	fgenesh2_kg.271__2__AT5G52290.1	1581	Uncharacterized protein
59689.fgenesh2_kg.277__1__AT5G58850.1	fgenesh2_kg.277__1__AT5G58850.1	414	MYB119 
59689.fgenesh2_kg.277__2__AT5G58860.1	fgenesh2_kg.277__2__AT5G58860.1	513	Belongs to the cytochrome P450 family. 
59689.fgenesh2_kg.279__2__AT5G58800.1	fgenesh2_kg.279__2__AT5G58800.1	207	Quinone reductase family protein 
59689.fgenesh2_kg.281__2__AT5G53710.1	fgenesh2_kg.281__2__AT5G53710.1	109	Putative uncharacterized protein
59689.fgenesh2_kg.283__3__AT2G30910.1	fgenesh2_kg.283__3__AT2G30910.1	378	Actin-related protein 2/3 complex subunit; Functions as component of the Arp2/3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks
59689.fgenesh2_kg.286__2__AT3G07850.1	fgenesh2_kg.286__2__AT3G07850.1	445	Polygalacturonase 
59689.fgenesh2_kg.288__1__AT3G03341.1	fgenesh2_kg.288__1__AT3G03341.1	70	Uncharacterized protein
59689.fgenesh2_kg.2__1001__AT1G67680.1	fgenesh2_kg.2__1001__AT1G67680.1	652	Signal recognition particle subunit SRP72; Signal-recognition-particle assembly has a crucial role in targeting secretory proteins to the rough endoplasmic reticulum membrane
59689.fgenesh2_kg.2__1007__AT1G67730.1	fgenesh2_kg.2__1007__AT1G67730.1	318	Uncharacterized protein; Belongs to the short-chain dehydrogenases/reductases (SDR) family
59689.fgenesh2_kg.2__1008__AT1G67740.1	fgenesh2_kg.2__1008__AT1G67740.1	185	Uncharacterized protein
59689.fgenesh2_kg.2__1009__AT1G67750.1	fgenesh2_kg.2__1009__AT1G67750.1	408	Pectate lyase family protein 
59689.fgenesh2_kg.2__1010__AT1G67760.1	fgenesh2_kg.2__1010__AT1G67760.1	235	Uncharacterized protein; Molecular chaperone; assists the folding of proteins upon ATP hydrolysis
59689.fgenesh2_kg.2__1011__AT1G67770.1	fgenesh2_kg.2__1011__AT1G67770.1	519	Uncharacterized protein
59689.fgenesh2_kg.2__1012__AT1G67780.1	fgenesh2_kg.2__1012__AT1G67780.1	527	Uncharacterized protein
59689.fgenesh2_kg.2__1013__AT1G67785.1	fgenesh2_kg.2__1013__AT1G67785.1	63	Uncharacterized protein
59689.fgenesh2_kg.2__1015__AT1G67800.2	fgenesh2_kg.2__1015__AT1G67800.2	452	Uncharacterized protein
59689.fgenesh2_kg.2__1019__AT1G67810.1	fgenesh2_kg.2__1019__AT1G67810.1	258	Fe-S metabolism associated domain-containing protein 
59689.fgenesh2_kg.2__1020__AT1G67830.1	fgenesh2_kg.2__1020__AT1G67830.1	373	Uncharacterized protein; Belongs to the 'GDSL' lipolytic enzyme family
59689.fgenesh2_kg.2__1024__AT1G67856.1	fgenesh2_kg.2__1024__AT1G67856.1	132	Uncharacterized protein
59689.fgenesh2_kg.2__1027__AT1G67890.1	fgenesh2_kg.2__1027__AT1G67890.1	757	Kinase family protein 
59689.fgenesh2_kg.2__102__AT1G63840.1	fgenesh2_kg.2__102__AT1G63840.1	166	Zinc finger family protein 
59689.fgenesh2_kg.2__1031__AT1G67930.1	fgenesh2_kg.2__1031__AT1G67930.1	832	Uncharacterized protein
59689.fgenesh2_kg.2__1032__AT1G68160.1	fgenesh2_kg.2__1032__AT1G68160.1	271	Uncharacterized protein
59689.fgenesh2_kg.2__1035__AT1G68140.1	fgenesh2_kg.2__1035__AT1G68140.1	332	Uncharacterized protein
59689.fgenesh2_kg.2__1036__AT1G68130.1	fgenesh2_kg.2__1036__AT1G68130.1	423	Atidd14-domain 14 
59689.fgenesh2_kg.2__1038__AT1G68120.1	fgenesh2_kg.2__1038__AT1G68120.1	265	Uncharacterized protein
59689.fgenesh2_kg.2__103__AT1G63820.1	fgenesh2_kg.2__103__AT1G63820.1	293	Uncharacterized protein
59689.fgenesh2_kg.2__1046__AT1G68070.1	fgenesh2_kg.2__1046__AT1G68070.1	344	Uncharacterized protein
59689.fgenesh2_kg.2__1047__AT1G68060.1	fgenesh2_kg.2__1047__AT1G68060.1	622	Atmap70-1 
59689.fgenesh2_kg.2__1049__AT1G68050.1	FKF1	623	Flavin-binding kelch domain F box protein 
59689.fgenesh2_kg.2__104__AT1G63810.1	fgenesh2_kg.2__104__AT1G63810.1	1049	Uncharacterized protein
59689.fgenesh2_kg.2__1050__AT1G68040.1	fgenesh2_kg.2__1050__AT1G68040.1	362	S-adenosyl-L-methionine:carboxyl methyltransferase family protein 
59689.fgenesh2_kg.2__1052__AT1G68010.1	fgenesh2_kg.2__1052__AT1G68010.1	386	Uncharacterized protein; Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family
59689.fgenesh2_kg.2__1053__AT1G68000.1	fgenesh2_kg.2__1053__AT1G68000.1	227	CDP-diacylglycerol--inositol 3-phosphatidyltransferase; ATPIS1 
59689.fgenesh2_kg.2__1054__AT1G67990.1	fgenesh2_kg.2__1054__AT1G67990.1	233	Uncharacterized protein
59689.fgenesh2_kg.2__1055__AT1G67980.1	fgenesh2_kg.2__1055__AT1G67980.1	232	Uncharacterized protein
59689.fgenesh2_kg.2__1058__AT1G67960.1	fgenesh2_kg.2__1058__AT1G67960.1	620	Uncharacterized protein
59689.fgenesh2_kg.2__105__AT1G63800.1	UBC5	185	Ubiquitin-conjugating enzyme 37 ; Belongs to the ubiquitin-conjugating enzyme family
59689.fgenesh2_kg.2__1062__AT1G67950.2	fgenesh2_kg.2__1062__AT1G67950.2	279	RNA recognition motif-containing protein 
59689.fgenesh2_kg.2__1065__AT1G68180.1	fgenesh2_kg.2__1065__AT1G68180.1	248	Zinc finger family protein 
59689.fgenesh2_kg.2__1066__AT1G68185.1	fgenesh2_kg.2__1066__AT1G68185.1	216	Uncharacterized protein
59689.fgenesh2_kg.2__1067__AT1G68190.1	fgenesh2_kg.2__1067__AT1G68190.1	347	Zinc finger (B-box type) family protein 
59689.fgenesh2_kg.2__1068__AT1G68200.1	fgenesh2_kg.2__1068__AT1G68200.1	310	Zinc finger (CCCH-type) family protein 
59689.fgenesh2_kg.2__106__AT1G63740.1	fgenesh2_kg.2__106__AT1G63740.1	991	Uncharacterized protein
59689.fgenesh2_kg.2__1070__AT1G68220.1	fgenesh2_kg.2__1070__AT1G68220.1	201	Uncharacterized protein
59689.fgenesh2_kg.2__1072__AT1G68238.1	fgenesh2_kg.2__1072__AT1G68238.1	66	Uncharacterized protein
59689.fgenesh2_kg.2__1074__AT1G68240.1	fgenesh2_kg.2__1074__AT1G68240.1	194	Uncharacterized protein
59689.fgenesh2_kg.2__1075__AT1G68250.2	fgenesh2_kg.2__1075__AT1G68250.2	75	Uncharacterized protein
59689.fgenesh2_kg.2__1076__AT1G68280.1	fgenesh2_kg.2__1076__AT1G68280.1	190	Uncharacterized protein
59689.fgenesh2_kg.2__1077__AT1G68290.1	fgenesh2_kg.2__1077__AT1G68290.1	290	Uncharacterized protein
59689.fgenesh2_kg.2__1078__AT1G68300.1	fgenesh2_kg.2__1078__AT1G68300.1	160	Universal stress protein family protein 
59689.fgenesh2_kg.2__1080__AT1G68310.1	fgenesh2_kg.2__1080__AT1G68310.1	166	Uncharacterized protein
59689.fgenesh2_kg.2__1082__AT1G68330.1	fgenesh2_kg.2__1082__AT1G68330.1	267	Uncharacterized protein
59689.fgenesh2_kg.2__1084__AT1G68350.1	fgenesh2_kg.2__1084__AT1G68350.1	159	Uncharacterized protein
59689.fgenesh2_kg.2__1087__AT1G68380.1	fgenesh2_kg.2__1087__AT1G68380.1	392	Uncharacterized protein
59689.fgenesh2_kg.2__1088__AT1G68390.1	fgenesh2_kg.2__1088__AT1G68390.1	405	Uncharacterized protein
59689.fgenesh2_kg.2__1089__AT1G68400.1	fgenesh2_kg.2__1089__AT1G68400.1	669	At1g68400/T2E12_5 ; Belongs to the protein kinase superfamily. Ser/Thr protein kinase family
59689.fgenesh2_kg.2__108__AT1G63720.1	fgenesh2_kg.2__108__AT1G63720.1	363	Uncharacterized protein
59689.fgenesh2_kg.2__1094__AT1G68440.1	fgenesh2_kg.2__1094__AT1G68440.1	301	Uncharacterized protein
59689.fgenesh2_kg.2__1096__AT1G68460.1	fgenesh2_kg.2__1096__AT1G68460.1	353	Cytokinin synthase 
59689.fgenesh2_kg.2__1097__AT1G68480.1	fgenesh2_kg.2__1097__AT1G68480.1	253	Uncharacterized protein
59689.fgenesh2_kg.2__1100__AT1G68510.1	fgenesh2_kg.2__1100__AT1G68510.1	233	LOB domain protein 42 
59689.fgenesh2_kg.2__1104__AT1G68540.1	fgenesh2_kg.2__1104__AT1G68540.1	321	Oxidoreductase family protein 
59689.fgenesh2_kg.2__1107__AT1G68550.2	fgenesh2_kg.2__1107__AT1G68550.2	327	Uncharacterized protein
59689.fgenesh2_kg.2__1109__AT1G68570.1	fgenesh2_kg.2__1109__AT1G68570.1	597	Proton-dependent oligopeptide transport family protein 
59689.fgenesh2_kg.2__110__AT1G63700.1	fgenesh2_kg.2__110__AT1G63700.1	883	Uncharacterized protein
59689.fgenesh2_kg.2__1112__AT1G68580.2	fgenesh2_kg.2__1112__AT1G68580.2	649	Uncharacterized protein
59689.fgenesh2_kg.2__1114__AT1G68590.1	fgenesh2_kg.2__1114__AT1G68590.1	162	Plastid-specific ribosomal protein 3 
59689.fgenesh2_kg.2__1116__AT1G68600.1	fgenesh2_kg.2__1116__AT1G68600.1	532	F24J5.16 
59689.fgenesh2_kg.2__1118__AT1G68620.1	fgenesh2_kg.2__1118__AT1G68620.1	336	Uncharacterized protein
59689.fgenesh2_kg.2__1120__AT1G68640.1	fgenesh2_kg.2__1120__AT1G68640.1	446	Transcription factor perianthia 
59689.fgenesh2_kg.2__1121__AT1G68650.1	fgenesh2_kg.2__1121__AT1G68650.1	230	Uncharacterized protein
59689.fgenesh2_kg.2__1124__AT1G68670.1	fgenesh2_kg.2__1124__AT1G68670.1	353	Uncharacterized protein
59689.fgenesh2_kg.2__1127__AT1G68710.1	fgenesh2_kg.2__1127__AT1G68710.1	1200	Phospholipid-transporting ATPase; Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily
59689.fgenesh2_kg.2__112__AT1G63690.1	fgenesh2_kg.2__112__AT1G63690.1	540	Protease-associated domain-containing protein 
59689.fgenesh2_kg.2__1133__AT1G68760.1	fgenesh2_kg.2__1133__AT1G68760.1	147	Uncharacterized protein; Belongs to the Nudix hydrolase family
59689.fgenesh2_kg.2__1134__AT1G68765.1	fgenesh2_kg.2__1134__AT1G68765.1	63	Uncharacterized protein
59689.fgenesh2_kg.2__1135__AT1G68780.1	fgenesh2_kg.2__1135__AT1G68780.1	430	Leucine-rich repeat family protein 
59689.fgenesh2_kg.2__1136__AT1G68790.1	fgenesh2_kg.2__1136__AT1G68790.1	1085	Uncharacterized protein
59689.fgenesh2_kg.2__1138__AT1G68810.1	fgenesh2_kg.2__1138__AT1G68810.1	360	Basic helix-loop-helix family protein 
59689.fgenesh2_kg.2__1139__AT1G68820.1	fgenesh2_kg.2__1139__AT1G68820.1	461	Uncharacterized protein
59689.fgenesh2_kg.2__1141__AT1G68840.1	fgenesh2_kg.2__1141__AT1G68840.1	352	AP2 domain-containing protein RAP2.8 
59689.fgenesh2_kg.2__1142__AT1G68850.1	fgenesh2_kg.2__1142__AT1G68850.1	335	Peroxidase; Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily
59689.fgenesh2_kg.2__1143__AT1G68870.1	fgenesh2_kg.2__1143__AT1G68870.1	148	Uncharacterized protein
59689.fgenesh2_kg.2__1145__AT1G68880.1	fgenesh2_kg.2__1145__AT1G68880.1	130	BZIP transcription factor family protein 
59689.fgenesh2_kg.2__1147__AT1G68905.1	fgenesh2_kg.2__1147__AT1G68905.1	90	Uncharacterized protein
59689.fgenesh2_kg.2__1149__AT1G68910.1	fgenesh2_kg.2__1149__AT1G68910.1	630	Uncharacterized protein
59689.fgenesh2_kg.2__114__AT1G63670.2	fgenesh2_kg.2__114__AT1G63670.2	690	Uncharacterized protein
59689.fgenesh2_kg.2__1151__AT1G68920.3	fgenesh2_kg.2__1151__AT1G68920.3	487	Basic helix-loop-helix family protein 
59689.fgenesh2_kg.2__1154__AT1G68930.1	fgenesh2_kg.2__1154__AT1G68930.1	740	Belongs to the PPR family. PCMP-H subfamily. 
59689.fgenesh2_kg.2__1157__AT1G68980.1	fgenesh2_kg.2__1157__AT1G68980.1	623	Pentatricopeptide repeat-containing protein 
59689.fgenesh2_kg.2__1158__AT1G68990.1	fgenesh2_kg.2__1158__AT1G68990.1	975	DNA-directed RNA polymerase; DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
59689.fgenesh2_kg.2__1159__AT1G69010.1	fgenesh2_kg.2__1159__AT1G69010.1	308	Uncharacterized protein
59689.fgenesh2_kg.2__1160__AT1G69020.1	fgenesh2_kg.2__1160__AT1G69020.1	754	Prolyl oligopeptidase family protein 
59689.fgenesh2_kg.2__1162__AT1G69040.2	fgenesh2_kg.2__1162__AT1G69040.2	455	Uncharacterized protein
59689.fgenesh2_kg.2__1164__AT1G69050.1	fgenesh2_kg.2__1164__AT1G69050.1	94	Uncharacterized protein
59689.fgenesh2_kg.2__1165__AT1G69060.1	fgenesh2_kg.2__1165__AT1G69060.1	593	Heat shock protein binding protein 
59689.fgenesh2_kg.2__1168__AT1G69080.1	fgenesh2_kg.2__1168__AT1G69080.1	223	Universal stress protein family protein 
59689.fgenesh2_kg.2__1169__AT1G69120.1	AP1	256	Floral homeotic protein APETALA 1; Transcription factor that promotes early floral meristem identity in synergy with LEAFY. Displays a redundant function with CAULIFLOWER in the up-regulation of LEAFY. Required subsequently for the transition of an inflorescence meristem into a floral meristem, and for the normal development of sepals and petals in flowers. Regulates positively B class homeotic proteins (By similarity)
59689.fgenesh2_kg.2__1170__AT1G69160.1	fgenesh2_kg.2__1170__AT1G69160.1	320	Uncharacterized protein
59689.fgenesh2_kg.2__1172__AT1G69180.1	fgenesh2_kg.2__1172__AT1G69180.1	181	Uncharacterized protein
59689.fgenesh2_kg.2__1173__AT1G69190.1	fgenesh2_kg.2__1173__AT1G69190.1	486	Dihydropteroate synthase 
59689.fgenesh2_kg.2__1174__AT1G69200.1	fgenesh2_kg.2__1174__AT1G69200.1	612	PfkB-type carbohydrate kinase family protein 
59689.fgenesh2_kg.2__1179__AT1G69230.1	fgenesh2_kg.2__1179__AT1G69230.1	110	Uncharacterized protein
59689.fgenesh2_kg.2__1181__AT1G69240.1	fgenesh2_kg.2__1181__AT1G69240.1	443	Hydrolase, alpha/beta fold family protein 
59689.fgenesh2_kg.2__1183__AT1G69270.1	fgenesh2_kg.2__1183__AT1G69270.1	537	Uncharacterized protein; Belongs to the protein kinase superfamily. Ser/Thr protein kinase family
59689.fgenesh2_kg.2__1186__AT1G69310.1	fgenesh2_kg.2__1186__AT1G69310.1	285	Uncharacterized protein
59689.fgenesh2_kg.2__1190__AT1G69330.1	fgenesh2_kg.2__1190__AT1G69330.1	264	Uncharacterized protein
59689.fgenesh2_kg.2__1191__AT1G69340.1	fgenesh2_kg.2__1191__AT1G69340.1	562	Appr-1-p processing enzyme family protein 
59689.fgenesh2_kg.2__1195__AT1G69380.1	fgenesh2_kg.2__1195__AT1G69380.1	373	Uncharacterized protein
59689.fgenesh2_kg.2__1196__AT1G69390.1	fgenesh2_kg.2__1196__AT1G69390.1	229	Uncharacterized protein
59689.fgenesh2_kg.2__1198__AT1G69400.1	fgenesh2_kg.2__1198__AT1G69400.1	315	Transducin family protein 
59689.fgenesh2_kg.2__1200__AT1G69420.1	fgenesh2_kg.2__1200__AT1G69420.1	596	S-acyltransferase; Zinc finger family protein ; Belongs to the DHHC palmitoyltransferase family
59689.fgenesh2_kg.2__1202__AT1G69440.1	fgenesh2_kg.2__1202__AT1G69440.1	989	Uncharacterized protein; Belongs to the argonaute family
59689.fgenesh2_kg.2__1206__AT1G69490.1	fgenesh2_kg.2__1206__AT1G69490.1	270	NAC domain protein NAC2 
59689.fgenesh2_kg.2__1207__AT1G69500.1	fgenesh2_kg.2__1207__AT1G69500.1	519	Oxygen binding protein 
59689.fgenesh2_kg.2__120__AT1G63650.2	fgenesh2_kg.2__120__AT1G63650.2	596	Uncharacterized protein
59689.fgenesh2_kg.2__1216__AT1G69530.4	Expansin-A1	248	Causes loosening and extension of plant cell walls by disrupting non-covalent bonding between cellulose microfibrils and matrix glucans. No enzymatic activity has been found. 
59689.fgenesh2_kg.2__121__AT1G63640.1	fgenesh2_kg.2__121__AT1G63640.1	1065	Uncharacterized protein; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
59689.fgenesh2_kg.2__1220__AT1G69560.1	fgenesh2_kg.2__1220__AT1G69560.1	294	MYB105 
59689.fgenesh2_kg.2__1221__AT1G69570.1	fgenesh2_kg.2__1221__AT1G69570.1	396	Uncharacterized protein
59689.fgenesh2_kg.2__1223__AT1G69580.2	fgenesh2_kg.2__1223__AT1G69580.2	332	Uncharacterized protein
59689.fgenesh2_kg.2__1226__AT1G69610.1	fgenesh2_kg.2__1226__AT1G69610.1	630	Uncharacterized protein
59689.fgenesh2_kg.2__1228__AT1G69630.1	fgenesh2_kg.2__1228__AT1G69630.1	428	F-box family protein 
59689.fgenesh2_kg.2__1229__AT1G69640.1	fgenesh2_kg.2__1229__AT1G69640.1	258	Uncharacterized protein; Belongs to the sterol desaturase family
59689.fgenesh2_kg.2__1230__AT1G69670.1	fgenesh2_kg.2__1230__AT1G69670.1	681	Uncharacterized protein; Belongs to the cullin family
59689.fgenesh2_kg.2__1231__AT1G69690.1	fgenesh2_kg.2__1231__AT1G69690.1	330	Uncharacterized protein
59689.fgenesh2_kg.2__1232__AT1G69700.1	fgenesh2_kg.2__1232__AT1G69700.1	184	HVA22-like protein
